"remote_id","acousticness","danceability","energy","instrumentalness","track_key","liveness","mode","popularity","speechiness","tempo","valence","album_year","genres"
"7kWNXvnXS9tqpnYt5or5ya","0.0175999999","0.7649999857","0.7659999728","0.33399999141693","5","0.0741999969","0","0","0.0476000011","125.98000336","0.9649999738","2016","discofox"
"7gXP8z9qysOjkqwvmDuueC","0.0568000004","0.574000001","0.5450000167","0.37700000405312","3","0.0579999983","0","0","0.0308999997","128.01100159","0.4140000045","2016","discofox"
"0Kasp2QCiocAhHXJIC3CY2","0.125","0.7979999781","0.4709999859","0.86599999666214","4","0.0969000012","0","2","0.0766000003","159.88800049","0.625","2016","deep ragga"
"1LfpGbhnonPbgWlakxlMXR","0.00178","0.6039999723","0.8220000267","0.94900000095367","8","0.2049999982","1","1","0.0584999993","129.01400757","0.2109999955","2016","drumfunk"
"0KtLlGdbH2SD4PPWEKKtLZ","1.57e-4","0.6399999857","0.9620000124","0.83700001239777","2","0.0573999994","1","0","0.1000000015","175.07099915","0.300999999","2016","german hip hop"
"1AyIwwTEkoeTuTtZ7imAK6","5.5699999e-4","0.8059999943","0.6029999852","0.89200001955032","9","0.0666999966","0","0","0.0920000002","119.99700165","0.5989999771","2016","riddim"
"2pn5XAIaC79Vj2lRGcGKEK","1.6100001e-5","0.8119999766","0.8450000286","0.7950000166893","1","0.0478000008","1","0","0.0908999965","126.06099701","0.7839999795","2016","edm, electro house, house"
"3UPcW8lg3bTejaed4GjMLq","3.2299999e-4","0.6750000119","0.7160000205","0.86500000953674","6","0.1080000028","1","0","0.0375000015","109.96900177","0.273999989","2016","electro house, house"
"05WtQgGTJvMpoPtBqxNIeW","8.7100001e-5","0.7829999924","0.7960000038","0.90399998426437","7","0.0910999998","1","0","0.0489999987","129.9960022","0.0496999994","2016","crunk, dirty south rap, southern hip hop"
"28oGPnQuEiYel4c2UDDROw","0.0190999992","0.8289999962","0.3910000026","0.75800001621246","0","0.3580000103","1","0","0.058699999","129.00900269","0.4410000145","2016","electro house"
"1ik0cssgC5Vp5WbImg2Mko","0.0307","0.8740000129","0.5870000124","0.89999997615814","1","0.0979999974","1","0","0.0480999984","127.98799896","0.1480000019","2016","nu electro"
"1Vmx0KV4UTuV6BUWdADUIj","6.9000002e-5","0.7990000248","0.8199999928","0.86400002241135","7","0.0960000008","1","0","0.0531000011","128.0039978","0.1010000035","2016","dark minimal techno"
